date,net_pnl,transaction_cost,portfolio_value,invested_weight,cash_weight,corr_scale,regime,stop_active,in_regime,n_long,leader,daily_return
2017-02-01,-80.17595864533376,100.0,99919.82404135466,1.0,0.0,1.0,Normal,False,True,4,USMV,-0.0008017595864533377
2017-02-02,204.4829717414693,49.95991202067734,100124.30701309613,1.5,0.0,1.0,Normal,False,True,4,QQQ,0.0020464704947522547
2017-02-03,715.2731451471,4.695750276657473,100839.58015824323,1.5000000000000002,0.0,1.0,Normal,False,True,4,QQQ,0.0071438511434944885
2017-02-06,-113.77573855946221,6.222891902243586,100725.80441968377,1.5000000000000002,0.0,1.0,Normal,False,True,4,QQQ,-0.0011282845325309647
2017-02-07,424.38264957309565,4.623283348672626,101150.18706925686,1.5,0.0,1.0,Normal,False,True,4,QQQ,0.004213246565943166
2017-02-08,265.0889652681178,3.8641389158583572,101415.27603452498,1.5000000000000002,0.0,1.0,Normal,False,True,4,QQQ,0.002620746169125848
2017-02-09,565.163213770451,0.578536974045715,101980.43924829544,1.5,0.0,1.0,Normal,False,True,4,QQQ,0.005572762170247917
2017-02-10,566.4675975396976,1.9569810994949368,102546.90684583514,1.5,0.0,1.0,Normal,False,True,4,QQQ,0.005554669127875578
2017-02-13,667.5641678050183,2.3555819124144985,103214.47101364016,1.5,0.0,1.0,Normal,False,True,4,QQQ,0.006509842064847526
2017-02-14,324.05408585054965,1.4735344602234095,103538.52509949071,1.5,0.0,1.0,Normal,False,True,4,QQQ,0.003139618724662405
2017-02-15,808.6641795553171,3.2681069739023063,104347.18927904603,1.5,0.0,1.0,Normal,False,True,4,QQQ,0.007810273313998509
2017-02-16,247.79915631395065,0.9358801140962116,104594.98843535998,1.4999999999999998,0.0,1.0,Normal,False,True,4,QQQ,0.0023747564072021557
2017-02-17,407.06882523371786,5.924826294577186,105002.05726059369,1.5,0.0,1.0,Normal,False,True,4,QQQ,0.003891857834902746
2017-02-21,935.558844767077,0.6408321380488203,105937.61610536076,1.5,0.0,1.0,Normal,False,True,4,QQQ,0.008909909664390772
2017-02-22,49.26347874013131,3.5716713080763762,105986.8795841009,1.5,0.0,1.0,Normal,False,True,4,QQQ,0.00046502347845109223
2017-02-23,4.1372114969144205,4.194973049789728,105991.01679559781,1.5,0.0,1.0,Normal,False,True,4,QQQ,3.903512881168967e-05
2017-02-24,454.7544669485005,4.98204292039246,106445.77126254632,1.5,0.0,1.0,Normal,False,True,4,QQQ,0.004290500088563997
2017-02-27,72.13719022070862,2.224027950463788,106517.90845276702,1.5000000000000002,0.0,1.0,Normal,False,True,4,QQQ,0.0006776895818884502
2017-02-28,-252.2298097600582,1.7870231329289443,106265.67864300696,1.5,0.0,1.0,Normal,False,True,4,QQQ,-0.002367956838655951
2017-03-01,1660.2222132559211,10.008379302966578,107925.90085626289,1.5,0.0,1.0,Normal,False,True,4,QQQ,0.015623315396435156
2017-03-02,-725.9403485456446,12.141582867668204,107199.96050771725,1.5000000000000002,0.0,1.0,Normal,False,True,4,QQQ,-0.006726284819363809
2017-03-03,41.822026783261634,15.219357427719,107241.78253450051,1.5,0.0,1.0,Normal,False,True,4,QQQ,0.000390130990582323
2017-03-06,-349.9768276984419,2.455103205516112,106891.80570680207,1.4999999999999998,0.0,1.0,Normal,False,True,4,QQQ,-0.003263437248311792
2017-03-07,-225.4634693511824,1.3884430257307303,106666.3422374509,1.5,0.0,1.0,Normal,False,True,4,QQQ,-0.0021092680384651318
2017-03-08,-142.2830148182883,3.178187118745373,106524.05922263261,1.5,0.0,1.0,Normal,False,True,4,QQQ,-0.0013339073210324474
2017-03-09,131.45506001752094,4.408785903716481,106655.51428265014,1.5000000000000002,0.0,1.0,Normal,False,True,4,QQQ,0.0012340410323904683
2017-03-10,728.83708210335,0.2634776146995972,107384.35136475349,1.5,0.0,1.0,Normal,False,True,4,QQQ,0.0068335621182402505
2017-03-13,289.01427295028344,2.4208371909694786,107673.36563770377,1.5,0.0,1.0,Normal,False,True,4,QQQ,0.002691400276457282
2017-03-14,-486.25701954363,0.7616461419476228,107187.10861816014,1.5,0.0,1.0,Normal,False,True,4,QQQ,-0.004516038081133022
2017-03-15,1323.268624443263,3.2986586798810653,108510.37724260341,1.5000000000000002,0.0,1.0,Normal,False,True,4,QQQ,0.012345408337836894
2017-03-16,-319.176801490296,3.7934256309445353,108191.20044111312,1.4897876232780625,0.0,1.0,Normal,False,True,4,QQQ,-0.002941440345163417
2017-03-17,141.73339301710766,2.2877378823085572,108332.93383413022,1.4752591460671023,0.0,1.0,Normal,False,True,4,QQQ,0.0013100269933158848
2017-03-20,-45.807639010092586,0.5435620993649006,108287.12619512013,1.4770788372133512,0.0,1.0,Normal,False,True,4,QQQ,-0.00042284130401406075
2017-03-21,-1731.4320750624138,1.1518679147129134,106555.69412005771,1.4680510921086567,0.0,1.0,Normal,False,True,4,QQQ,-0.01598926978579693
