date,net_pnl,transaction_cost,portfolio_value,invested_weight,net_weight,cash_weight,n_long,n_short,in_regime,holdings,shorts,daily_return
2016-01-04,0.0,0.0,100000.0,0.0,0.0,1.0,0,0,False,,,0.0
2016-01-05,0.0,0.0,100000.0,0.0,0.0,1.0,0,0,False,,,0.0
2016-01-06,-40.85523627944676,0.0,99959.14476372056,0.0,0.0,1.0,0,0,False,,,-0.00040855236279446755
2016-01-07,13.61841209313072,0.0,99972.76317581368,0.0,0.0,1.0,0,0,False,,,0.0001362397820161565
2016-01-08,0.0,0.0,99972.76317581368,0.0,0.0,1.0,0,0,False,,,0.0
2016-01-11,0.0,0.0,99972.76317581368,0.0,0.0,1.0,0,0,False,,,0.0
2016-01-12,27.23682418630675,0.0,99999.99999999999,0.0,0.0,1.0,0,0,False,,,0.0002724424465332387
2016-01-13,-27.23682418631634,0.0,99972.76317581367,0.0,0.0,1.0,0,0,False,,,-0.00027236824186316344
2016-01-14,-13.618412093142275,0.0,99959.14476372053,0.0,0.0,1.0,0,0,False,,,-0.00013622122326650832
2016-01-15,0.0,0.0,99959.14476372053,0.0,0.0,1.0,0,0,False,,,0.0
2016-01-19,13.618412093130715,0.0,99972.76317581366,0.0,0.0,1.0,0,0,False,,,0.0001362397820161565
2016-01-20,0.0,0.0,99972.76317581366,0.0,0.0,1.0,0,0,False,,,0.0
2016-01-21,27.236824186306745,0.0,99999.99999999996,0.0,0.0,1.0,0,0,False,,,0.0002724424465332387
2016-01-22,-40.85523627944674,0.0,99959.14476372051,0.0,0.0,1.0,0,0,False,,,-0.0004085523627944676
2016-01-25,13.618412093130713,0.0,99972.76317581364,0.0,0.0,1.0,0,0,False,,,0.0001362397820161565
2016-01-26,-13.618412093142272,0.0,99959.1447637205,0.0,0.0,1.0,0,0,False,,,-0.00013622122326650832
2016-01-27,13.618412093130711,0.0,99972.76317581363,0.0,0.0,1.0,0,0,False,,,0.0001362397820161565
2016-01-28,0.0,0.0,99972.76317581363,0.0,0.0,1.0,0,0,False,,,0.0
2016-01-29,27.236824186306738,0.0,99999.99999999993,0.0,0.0,1.0,0,0,False,,,0.0002724424465332387
2016-02-01,-40.85523627944673,0.0,99959.14476372048,0.0,0.0,1.0,0,0,False,,,-0.0004085523627944676
2016-02-02,0.0,0.0,99959.14476372048,0.0,0.0,1.0,0,0,False,,,0.0
2016-02-03,13.61841209313071,0.0,99972.76317581361,0.0,0.0,1.0,0,0,False,,,0.0001362397820161565
2016-02-04,27.236824186306734,0.0,99999.99999999991,0.0,0.0,1.0,0,0,False,,,0.0002724424465332387
2016-02-05,0.0,0.0,99999.99999999991,0.0,0.0,1.0,0,0,False,,,0.0
2016-02-08,-27.23682418631632,0.0,99972.7631758136,0.0,0.0,1.0,0,0,False,,,-0.00027236824186316344
2016-02-09,27.23682418630673,0.0,99999.9999999999,0.0,0.0,1.0,0,0,False,,,0.0002724424465332387
2016-02-10,-27.236824186316316,0.0,99972.76317581358,0.0,0.0,1.0,0,0,False,,,-0.00027236824186316344
2016-02-11,13.618412093164462,0.0,99986.38158790674,0.0,0.0,1.0,0,0,False,,,0.00013622122326673036
2016-02-12,-13.618412093154731,0.0,99972.76317581358,0.0,0.0,1.0,0,0,False,,,-0.0001362026695723717
2016-02-16,0.0,0.0,99972.76317581358,0.0,0.0,1.0,0,0,False,,,0.0
2016-02-17,0.0,0.0,99972.76317581358,0.0,0.0,1.0,0,0,False,,,0.0
2016-02-18,27.236824186306723,0.0,99999.99999999988,0.0,0.0,1.0,0,0,False,,,0.0002724424465332387
2016-02-19,0.0,0.0,99999.99999999988,0.0,0.0,1.0,0,0,False,,,0.0
2016-02-22,0.0,0.0,99999.99999999988,0.0,0.0,1.0,0,0,False,,,0.0
2016-02-23,-27.236824186316312,0.0,99972.76317581357,0.0,0.0,1.0,0,0,False,,,-0.00027236824186316344
2016-02-24,27.23682418630672,0.0,99999.99999999987,0.0,0.0,1.0,0,0,False,,,0.0002724424465332387
2016-02-25,-27.23682418631631,0.0,99972.76317581355,0.0,0.0,1.0,0,0,False,,,-0.00027236824186316344
2016-02-26,0.0,0.0,99972.76317581355,0.0,0.0,1.0,0,0,False,,,0.0
2016-02-29,27.236824186306716,0.0,99999.99999999985,0.0,0.0,1.0,0,0,False,,,0.0002724424465332387
2016-03-01,0.0,0.0,99999.99999999985,0.0,0.0,1.0,0,0,False,,,0.0
2016-03-02,-27.236824186316305,0.0,99972.76317581354,0.0,0.0,1.0,0,0,False,,,-0.00027236824186316344
2016-03-03,27.236824186306713,0.0,99999.99999999984,0.0,0.0,1.0,0,0,False,,,0.0002724424465332387
2016-03-04,0.0,0.0,99999.99999999984,0.0,0.0,1.0,0,0,False,,,0.0
2016-03-07,0.0,0.0,99999.99999999984,0.0,0.0,1.0,0,0,False,,,0.0
2016-03-08,-13.6184120931526,0.0,99986.38158790668,0.0,0.0,1.0,0,0,False,,,-0.0001361841209315262
2016-03-09,13.618412093154724,0.0,99999.99999999984,0.0,0.0,1.0,0,0,False,,,0.0001362026695723717
