date,net_pnl,transaction_cost,portfolio_value,weight_trend,weight_mr,invested_weight,cash_weight,trend_pnl,mr_pnl,in_regime,daily_return
2016-10-19,-40.97426592072901,50.0,99959.02573407927,0.5,0.0,0.5,0.5,-4.544628249403271,-0.0,True,-0.0004097426592072901
2016-10-20,-72.62244919878057,0.0,99886.40328488049,0.5,0.0,0.5,0.5,-59.06132781307038,-0.0,True,-0.0007265221791174503
2016-10-21,186.3552300091087,0.0,100072.7585148896,0.5,0.0,0.5,0.5,186.3552300091087,0.0,True,0.001865671641791078
2016-10-24,594.3209432156317,0.0,100667.07945810523,0.5,0.0,0.5,0.5,594.3209432156317,0.0,True,0.005938888385166319
2016-10-25,-160.0459872872569,0.0,100507.03347081797,0.5,0.0,0.5,0.5,-166.87643100133656,-0.0,True,-0.0015898542815465655
2016-10-26,-318.47606410458036,0.0,100188.55740671339,0.5,0.0,0.5,0.5,-325.294723091744,-0.0,True,-0.003168694300355102
2016-10-27,-240.24269422144758,0.0,99948.31471249193,0.5,0.0,0.5,0.5,-226.65043300767687,-0.0,True,-0.0023979055137622884
2016-10-28,-290.79703177831647,0.0,99657.51768071362,0.5,0.0,0.5,0.5,-304.3603802262053,-0.0,True,-0.0029094740878304326
2016-10-31,-45.72378040567694,0.0,99611.79390030794,0.5,0.0,0.5,0.5,-59.24399715792029,-0.0,True,-0.0004588091442551123
2016-11-01,-387.4764268474401,0.0,99224.3174734605,0.5,0.0,0.5,0.5,-373.96607910563216,-0.0,True,-0.003889864961524825
2016-11-02,-384.7540546508887,0.0,98839.56341880962,0.5,0.0,0.5,0.5,-398.21550051624376,-0.0,True,-0.0038776185560943643
2016-11-03,-505.2133336051431,0.0,98334.35008520447,0.5,0.0,0.5,0.5,-491.80772348458817,-0.0,True,-0.005111448453737288
2016-11-04,-496.1135306208945,73.75076256390335,97838.23655458358,0.5,0.75,1.25,-0.25,-166.27696585567463,-249.41544878351195,True,-0.005045170178996693
2016-11-07,2923.1531685661002,0.0,100761.38972314968,0.5,0.75,1.25,-0.25,1166.6073073951197,1749.9109610926798,True,0.02987741062703317
2016-11-08,262.77658380338715,75.57104229236226,101024.16630695306,0.5,0.0,0.5,0.5,324.67765055332336,0.0,True,0.0026079094832394405
2016-11-09,199.00416777276433,0.0,101223.17047472583,0.5,0.0,0.5,0.5,226.4079833992325,0.0,True,0.001969866963990652
2016-11-10,-811.1865041231141,0.0,100411.98397060271,0.5,0.0,0.5,0.5,-811.1865041231141,-0.0,True,-0.008013842090884293
2016-11-11,2.793353831774477,0.0,100414.77732443449,0.5,0.0,0.5,0.5,23.232758901106134,0.0,True,2.7818928790335207e-05
2016-11-14,-490.45019862909874,0.0,99924.32712580539,0.5,0.0,0.5,0.5,-510.898497025332,-0.0,True,-0.004884243252808118
2016-11-15,709.2948942615859,0.0,100633.62202006698,0.5,0.0,0.5,0.5,695.7348010161244,0.0,True,0.007098320445716677
2016-11-16,301.4649014335192,0.0,100935.0869215005,0.5,0.0,0.5,0.5,301.4649014335192,0.0,True,0.0029956678034842588
2016-11-17,371.89105353767815,0.3152983386750134,101306.97797503817,0.49687622660968006,0.0,0.49687622660968006,0.50312377339032,358.42726035567426,0.0,True,0.003684457653728542
2016-11-18,-195.2354121615584,0.7465557762754305,101111.7425628766,0.4895069832347629,0.0,0.4895069832347629,0.5104930167652371,-180.4602371513569,-0.0,True,-0.0019271664801773477
2016-11-21,497.00336200218254,0.03469458980960388,101608.74592487879,0.48985011439767434,0.0,0.48985011439767434,0.5101498856023257,511.0340256332345,0.0,True,0.004915387168736803
2016-11-22,163.08705334729706,0.510456624985856,101771.83297822608,0.4948738613235861,0.0,0.4948738613235861,0.5051261386764139,163.59750997228292,0.0,True,0.0016050493671860718
2016-11-23,-213.11801016234793,0.03608198845959499,101558.71496806374,0.4945193232612981,0.0,0.4945193232612981,0.5054806767387019,-213.08192817388834,-0.0,True,-0.0020940765624998044
2016-11-25,178.1918350670526,0.35080789872156154,101736.90680313078,0.4979735605350946,0.0,0.4979735605350946,0.5020264394649054,164.7049010545112,0.0,True,0.0017545696115108093
2016-11-28,-128.6772932958076,0.20512847612447827,101608.22950983497,0.49998982466745534,0.0,0.49998982466745534,0.5000101753325447,-114.66956310799694,-0.0,True,-0.001264804458275979
2016-11-29,179.0645309865008,0.001033897524536669,101787.29404082148,0.5,0.0,0.5,0.5,179.06556488402535,0.0,True,0.0017623034261134193
2016-11-30,-623.337175322036,0.0,101163.95686549944,0.5,0.0,0.5,0.5,-623.337175322036,-0.0,True,-0.006123919308357373
2016-12-01,-2064.9381434609095,65.1269285020589,99099.01872203853,0.49018971855183757,0.6535862914024502,1.1437760099542877,-0.14377600995428774,-854.5242032931689,-1139.365604390892,True,-0.020411796922952585
2016-12-02,213.50824281479814,2.9997814339809965,99312.52696485333,0.45991917225717605,0.6535862914024502,1.1135054636596262,-0.11350546365962622,88.79565005148132,126.18656301060939,True,0.0021544940158657318
2016-12-05,868.6703268764701,1.2636072938287664,100181.1972917298,0.4726427161286954,0.6535862914024502,1.1262290075311456,-0.12622900753114563,365.0837749243472,504.85015924595155,True,0.008746835403593065
2016-12-06,60.98205586791701,65.79352001557203,100242.17934759772,0.4694838118835046,0.0,0.4694838118835046,0.5305161881164955,112.35480613496277,0.0,True,0.0006087175789118986
2016-12-07,635.5139939745422,3.0590092021787645,100877.69334157226,0.5,0.0,0.5,0.5,638.573003176721,0.0,True,0.0063397862866772575
2016-12-08,91.30029264329383,0.0,100968.99363421556,0.5,0.0,0.5,0.5,91.30029264329383,0.0,True,0.0009050592813829583
2016-12-09,396.79747249872554,0.0,101365.79110671428,0.5,0.0,0.5,0.5,396.79747249872554,0.0,True,0.003929894299394721
2016-12-12,-249.98977777203982,0.0,101115.80132894224,0.5,0.0,0.5,0.5,-236.24153538674793,-0.0,True,-0.0024662144402233244
2016-12-13,655.7086908692348,0.0,101771.51001981147,0.5,0.0,0.5,0.5,641.990633437541,0.0,True,0.00648473020290996
2016-12-14,-122.18011429679036,0.0,101649.32990551468,0.5,0.0,0.5,0.5,-122.18011429679036,-0.0,True,-0.0012005335704757258
2016-12-15,104.20460812206564,0.0,101753.53451363674,0.5,0.0,0.5,0.5,104.20460812206564,0.0,True,0.0010251381707968577
2016-12-16,-208.41883683178054,0.0,101545.11567680496,0.5,0.0,0.5,0.5,-194.61800480768187,-0.0,True,-0.0020482712254467073
2016-12-19,217.8096198298186,0.0,101762.92529663477,0.5,0.0,0.5,0.5,204.03331869335426,0.0,True,0.0021449541750787615
2016-12-20,176.27362420075207,0.0,101939.19892083552,0.5,0.0,0.5,0.5,190.07572989676152,0.0,True,0.0017321988699413038
2016-12-21,-26.819450192784917,0.0,101912.37947064274,0.5,0.0,0.5,0.5,-40.6492153428201,-0.0,True,-0.0002630926128192601
2016-12-22,-149.39223179368574,0.0,101762.98723884906,0.5,0.0,0.5,0.5,-135.56985562785286,-0.0,True,-0.001465888958433359
2016-12-23,40.71967300150056,0.0,101803.70691185056,0.5,0.0,0.5,0.5,40.71967300150056,0.0,True,0.0004001422728081572
2016-12-27,271.5995350472765,0.0,102075.30644689784,0.5,0.0,0.5,0.5,257.7881516648421,0.0,True,0.0026678747099302402
2016-12-28,-397.0397351187733,0.0,101678.26671177907,0.5,0.0,0.5,0.5,-397.0397351187733,-0.0,True,-0.0038896746817539403
2016-12-29,-249.56269061225169,76.2587000338343,101428.70402116682,0.5,0.75,1.25,-0.25,-67.94253388616559,-101.91380082924837,True,-0.0024544349415364366
2016-12-30,-1279.1467781262677,0.0,100149.55724304056,0.5,0.75,1.25,-0.25,-515.7851841561685,-773.6777762342527,True,-0.012611289777096302
2017-01-03,1084.2787958590552,0.0,101233.83603889961,0.5,0.75,1.25,-0.25,437.7876093995056,656.6814140992584,True,0.010826596000097666
2017-01-04,204.47570563754718,75.92537702917471,101438.31174453716,0.5,0.0,0.5,0.5,280.4010826667219,0.0,True,0.0020198355968549524
2017-01-05,259.0211469823301,0.0,101697.33289151949,0.5,0.0,0.5,0.5,265.899253284501,0.0,True,0.0025534844037492506
2017-01-06,442.88357943944965,0.0,102140.21647095894,0.5,0.0,0.5,0.5,435.98697474045076,0.0,True,0.004354918333127511
2017-01-09,192.4640362949762,0.0,102332.68050725391,0.5,0.0,0.5,0.5,192.4640362949762,0.0,True,0.001884312007011446
2017-01-10,104.74888728540519,0.0,102437.42939453931,0.5,0.0,0.5,0.5,111.68763698076269,0.0,True,0.001023611291780635
