date,holding,net_pnl,portfolio_value,stop_active,day_ret,in_regime,daily_return
2016-01-04,BIL (warmup),0.0,100000.0,False,,,0.0
2016-01-05,BIL (warmup),0.0,100000.0,False,,,0.0
2016-01-06,BIL (warmup),-54.31093007468579,99945.68906992531,False,,,-0.0005431093007468579
2016-01-07,BIL (warmup),27.155465037334462,99972.84453496264,False,,,0.0002717022143730041
2016-01-08,BIL (warmup),0.0,99972.84453496264,False,,,0.0
2016-01-11,BIL (warmup),0.0,99972.84453496264,False,,,0.0
2016-01-12,BIL (warmup),27.155465037353874,100000.0,False,,,0.0002716284123320811
2016-01-13,BIL (warmup),-27.155465037354,99972.84453496264,False,,,-0.00027155465037354
2016-01-14,BIL (warmup),-27.155465037331677,99945.68906992531,False,,,-0.0002716284123318591
2016-01-15,BIL (warmup),0.0,99945.68906992531,False,,,0.0
2016-01-19,BIL (warmup),27.155465037334462,99972.84453496264,False,,,0.0002717022143730041
2016-01-20,BIL (warmup),0.0,99972.84453496264,False,,,0.0
2016-01-21,BIL (warmup),27.155465037353874,100000.0,False,,,0.0002716284123320811
2016-01-22,BIL (warmup),-54.31093007468579,99945.68906992531,False,,,-0.0005431093007468579
2016-01-25,BIL (warmup),27.155465037334462,99972.84453496264,False,,,0.0002717022143730041
2016-01-26,BIL (warmup),-27.155465037331677,99945.68906992531,False,,,-0.0002716284123318591
2016-01-27,BIL (warmup),27.155465037334462,99972.84453496264,False,,,0.0002717022143730041
2016-01-28,BIL (warmup),0.0,99972.84453496264,False,,,0.0
2016-01-29,BIL (warmup),27.155465037353874,100000.0,False,,,0.0002716284123320811
2016-02-01,BIL (warmup),-54.31093007468579,99945.68906992531,False,,,-0.0005431093007468579
2016-02-02,BIL (warmup),0.0,99945.68906992531,False,,,0.0
2016-02-03,BIL (warmup),27.155465037334462,99972.84453496264,False,,,0.0002717022143730041
2016-02-04,BIL (warmup),27.155465037353874,100000.0,False,,,0.0002716284123320811
2016-02-05,BIL (warmup),0.0,100000.0,False,,,0.0
2016-02-08,BIL (warmup),-27.155465037354,99972.84453496264,False,,,-0.00027155465037354
2016-02-09,BIL (warmup),27.155465037353874,100000.0,False,,,0.0002716284123320811
2016-02-10,BIL (warmup),-27.155465037354,99972.84453496264,False,,,-0.00027155465037354
2016-02-11,BIL (warmup),13.577732518676937,99986.42226748132,False,,,0.00013581420616604056
2016-02-12,BIL (warmup),-13.577732518674651,99972.84453496264,False,,,-0.00013579576317224173
2016-02-16,BIL (warmup),0.0,99972.84453496264,False,,,0.0
2016-02-17,BIL (warmup),0.0,99972.84453496264,False,,,0.0
2016-02-18,BIL (warmup),27.155465037353874,100000.0,False,,,0.0002716284123320811
2016-02-19,BIL (warmup),0.0,100000.0,False,,,0.0
2016-02-22,BIL (warmup),0.0,100000.0,False,,,0.0
2016-02-23,BIL (warmup),-27.155465037354,99972.84453496264,False,,,-0.00027155465037354
2016-02-24,BIL (warmup),27.155465037353874,100000.0,False,,,0.0002716284123320811
2016-02-25,BIL (warmup),-27.155465037354,99972.84453496264,False,,,-0.00027155465037354
2016-02-26,BIL (warmup),0.0,99972.84453496264,False,,,0.0
2016-02-29,BIL (warmup),27.155465037353874,100000.0,False,,,0.0002716284123320811
2016-03-01,BIL (warmup),0.0,100000.0,False,,,0.0
2016-03-02,BIL (warmup),-27.155465037354,99972.84453496264,False,,,-0.00027155465037354
2016-03-03,BIL (warmup),27.155465037353874,100000.0,False,,,0.0002716284123320811
2016-03-04,BIL (warmup),0.0,100000.0,False,,,0.0
2016-03-07,BIL (warmup),0.0,100000.0,False,,,0.0
2016-03-08,BIL (warmup),-27.155465037354,99972.84453496264,False,,,-0.00027155465037354
2016-03-09,BIL (warmup),27.155465037353874,100000.0,False,,,0.0002716284123320811
2016-03-10,BIL (warmup),0.0,100000.0,False,,,0.0
2016-03-11,BIL (warmup),-27.155465037354,99972.84453496264,False,,,-0.00027155465037354
2016-03-14,BIL (warmup),0.0,99972.84453496264,False,,,0.0
2016-03-15,BIL (warmup),0.0,99972.84453496264,False,,,0.0
2016-03-16,BIL (warmup),27.155465037353874,100000.0,False,,,0.0002716284123320811
2016-03-17,BIL (warmup),-27.155465037354,99972.84453496264,False,,,-0.00027155465037354
2016-03-18,BIL (warmup),0.0,99972.84453496264,False,,,0.0
2016-03-21,BIL (warmup),27.155465037353874,100000.0,False,,,0.0002716284123320811
