date,equity,spot,vix,realised_vol,vrp,in_position,book_value,delta,gamma,vega,theta,hedge_shares,delta_pnl,gamma_pnl,vega_pnl,theta_pnl,residual_pnl,interest,costs,action,portfolio_value,daily_return,in_regime
2016-01-21,99999.99999999996,158.9,26.69,16.45886931362596,10.23113068637404,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.236824186306745,0.0,,99999.99999999996,0.0002724424465332387,False
2016-01-22,99959.14476372051,162.16,22.34,17.840460727723325,4.4995392722766745,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.85523627944674,0.0,,99959.14476372051,-0.0004085523627944676,False
2016-01-25,99972.76317581364,159.71,24.15,18.267435821935138,5.882564178064861,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.618412093130713,0.0,,99972.76317581364,0.0001362397820161565,False
2016-01-26,99959.1447637205,161.89,22.5,18.489135951861343,4.010864048138657,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.618412093142272,0.0,,99959.1447637205,-0.00013622122326650832,False
2016-01-27,99972.76317581363,160.13,23.11,18.4175941658411,4.692405834158901,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.618412093130711,0.0,,99972.76317581363,0.0001362397820161565,False
2016-01-28,99972.76317581363,160.96,22.42,17.969905960110573,4.450094039889429,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,99972.76317581363,0.0,False
2016-01-29,99999.99999999993,164.89,20.2,19.841346376366566,0.3586536236334332,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.236824186306738,0.0,,99999.99999999993,0.0002724424465332387,False
2016-02-01,99959.14476372048,164.83,19.98,19.23741938354258,0.7425806164574205,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.85523627944673,0.0,,99959.14476372048,-0.0004085523627944676,False
2016-02-02,99959.14476372048,161.86,21.98,19.923943111422115,2.056056888577885,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,99959.14476372048,0.0,False
2016-02-03,99972.76317581361,162.83,21.65,19.457027087641958,2.192972912358041,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.61841209313071,0.0,,99972.76317581361,0.0001362397820161565,False
2016-02-04,99999.99999999991,163.08,21.84,18.873732265769494,2.966267734230506,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.236824186306734,0.0,,99999.99999999991,0.0002724424465332387,False
2016-02-05,99999.99999999991,159.98,23.38,19.7352491486909,3.644750851309098,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,99999.99999999991,0.0,False
2016-02-08,99972.7631758136,157.82,26.0,19.841228433873816,6.158771566126184,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.23682418631632,0.0,,99972.7631758136,-0.00027236824186316344,False
2016-02-09,99999.9999999999,157.83,26.54,19.236800463533303,7.303199536466696,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.23682418630673,0.0,,99999.9999999999,0.0002724424465332387,False
2016-02-10,99972.76317581358,157.7,26.29,18.653519822464673,7.636480177535326,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.236824186316316,0.0,,99972.76317581358,-0.00027236824186316344,False
2016-02-11,99986.38158790674,155.64,28.14,18.78501424423544,9.35498575576456,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.618412093164462,0.0,,99986.38158790674,0.00013622122326673036,False
2016-02-12,99972.76317581358,158.85,25.4,19.90025657091951,5.499743429080489,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.618412093154731,0.0,,99972.76317581358,-0.0001362026695723717,False
2016-02-16,99972.76317581358,161.53,24.11,20.37882453668666,3.7311754633133383,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,99972.76317581358,0.0,False
2016-02-17,99972.76317581358,164.17,22.31,20.75492194308123,1.55507805691877,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,99972.76317581358,0.0,False
2016-02-18,99999.99999999988,163.5,21.64,20.18512111691019,1.4548788830898118,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.236824186306723,0.0,,99999.99999999988,0.0002724424465332387,False
2016-02-19,99999.99999999988,163.42,20.53,19.57112583903195,0.9588741609680511,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,99999.99999999988,0.0,False
2016-02-22,99999.99999999988,165.79,19.38,19.795151690960903,-0.4151516909609043,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,99999.99999999988,0.0,False
2016-02-23,99972.76317581357,163.7,20.98,19.80822319575356,1.1717768042464414,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.236824186316312,0.0,,99972.76317581357,-0.00027236824186316344,False
2016-02-24,99999.99999999987,164.44,20.72,19.28505833263647,1.4349416673635282,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.23682418630672,0.0,,99999.99999999987,0.0002724424465332387,False
2016-02-25,99972.76317581355,166.44,19.11,19.28639690234879,-0.17639690234879168,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.23682418631631,0.0,,99972.76317581355,-0.00027236824186316344,False
2016-02-26,99972.76317581355,166.05,19.81,18.721040739922742,1.0889592600772566,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,99972.76317581355,0.0,False
2016-02-29,99999.99999999985,164.57,20.55,18.47864254726201,2.071357452737992,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.236824186306716,0.0,,99999.99999999985,0.0002724424465332387,False
2016-03-01,99999.99999999985,168.62,17.7,20.3111829451632,-2.6111829451632005,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,99999.99999999985,0.0,False
2016-03-02,99972.76317581354,169.38,17.09,19.770257363586165,-2.680257363586165,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.236824186316305,0.0,,99972.76317581354,-0.00027236824186316344,False
2016-03-03,99999.99999999984,170.04,16.7,19.227766201028544,-2.5277662010285447,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.236824186306713,0.0,,99999.99999999984,0.0002724424465332387,False
2016-03-04,99999.99999999984,170.6,16.86,18.685944043252224,-1.8259440432522247,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,99999.99999999984,0.0,False
2016-03-07,99999.99999999984,170.73,17.35,18.119117849804127,-0.7691178498041253,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,99999.99999999984,0.0,False
2016-03-08,99986.38158790668,168.87,18.67,18.070691364835653,0.5993086351643484,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.6184120931526,0.0,,99986.38158790668,-0.0001361841209315262,False
2016-03-09,99999.99999999984,169.71,18.34,17.62662886783104,0.7133711321689589,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.618412093154724,0.0,,99999.99999999984,0.0001362026695723717,False
